package,declared_version,locked_version,declaration,priority,recommendation,reason,risk,evidence
simple-statistics,^0.7.0,0.7.0,dependencies,3,Candidate small characterized statistics module,Five reports use mean/population deviation/quantile. D3 quantile and deviation differ; preserve empty/non-finite/tie/percentile behavior. Batch quantiles to avoid repeated sorts first.,Medium-high; displayed glucose statistics,lib/report_plugins/dailystats.js:42; lib/report_plugins/glucosedistribution.js:101; lib/report_plugins/hourlystats.js:38; lib/report_plugins/percentile.js:45; lib/report_plugins/success.js:55
socket.io,~4.8.3,4.8.3,dependencies,Keep,Retain realtime protocol,Authentication/reconnect/acknowledgement and transports. Native WebSocket is not the Socket.IO protocol.,High,lib/server/websocket.js:88; tests/dependency-socket-parser.test.js:7
socket.io-client,^4.8.3,4.8.3,dependencies,2,Move direct declaration to dev after verification,Only direct imports are tests; browser uses server-served Socket.IO client. Declaration movement may leave overlapping runtime parser/component records.,Low-medium; realtime/browser tests,tests/dependency-socket-parser.test.js:8; tests/fixtures/api3/instance.js:10; tests/websocket.input-validation.test.js:5; tests/websocket.shape-handling.test.js:13; tests/websocket.xss-purification.test.js:28
stream-browserify,^3.0.0,3.0.0,dependencies,2,Remove browser stream chain after bus conversion,"Only browser stream consumer is event-only lib/bus.js. EventEmitter probe saves20,662 gzip bytes. Declare events explicitly; net one fewer direct dependency for these two.",Medium; lifecycle/teardown/reconnect tests,webpack/webpack.config.js:182
style-loader,^0.23.1,0.23.1,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,webpack/webpack.config.js:104
swagger-ui-dist,^4.13.2,4.19.1,dependencies,Keep,Retain API documentation assets and middleware,Runtime routes/static references are active. Explicit dist v4 cap constrains wrapper permissive range; removing cap may upgrade major silently.,Medium UI/API-doc compatibility,static/api-docs.html:8; static/api-docs.html:86; static/api-docs.html:87
swagger-ui-express,^4.5.0,4.6.3,dependencies,Keep,Retain API documentation assets and middleware,Runtime routes/static references are active. Explicit dist v4 cap constrains wrapper permissive range; removing cap may upgrade major silently.,Medium UI/API-doc compatibility,lib/server/app.js:316
traverse,^0.6.6,0.6.11,dependencies,3,Candidate narrow recursive query walker,One runtimeconsumer handles nested Mongo selectors. Must preserve object paths/types and reject prototype hazards.,Medium-high query/security behavior,lib/server/query.js:3
uuid,^11.1.1,11.1.1,dependencies,Keep,Retain deterministic UUIDv5 behavior,Native crypto.randomUUID is randomv4 and breaks persisted identifiers/dedup. Small localv5 implementation possible only as separately reviewed algorithm migration; low priority.,High consequence if identifiers change,lib/api3/shared/operationTools.js:5; tests/dependency-uuid.test.js:5
webpack,^5.74.0,5.106.2,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,lib/server/app.js:341; webpack/webpack.config.js:2; tests/dependency-babel.test.js:11; tests/dependency-babel.test.js:35
webpack-cli,^4.10.0,4.10.0,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,"package.json/scripts, .babelrc, .eslintrc.js, webpack/webpack.config.js"
@types/tough-cookie,^4.0.0,4.0.5,devDependencies,Keep,Retain install-time peer dependency,"No direct source use, but axios-cookiejar-support declares this peer. Docker does not copy .npmrc; removing its lock record makes npm ci --omit=optional --force fail. Revisit only with install-policy or cookie-wrapper migration.",Confirmed Docker clean-install failure if removed,Dockerfile:20; node_modules/axios-cookiejar-support/package.json:peerDependencies
axios,^0.33.0,0.33.0,devDependencies,2,Replace only direct IMPORT_CONFIG call with native fetch,Declared dev but required by runtime config import. Preserve HTTPerror/proxy/redirect/timeout/JSON behavior; connectors still need Axios/cookie wrappers.,Medium integration behavior,bin/testdatarunner.js:4; lib/server/bootevent.js:107; tests/dependency-axios.test.js:8
babel-eslint,^10.1.0,10.1.0,devDependencies,2,Replace configured parser with ESLint default Espree,Installed Espree7 parses all214 lib JS files at ecmaVersion2021; require lint-result parity before change. No new package needed.,Low-medium lint/build tooling,.eslintrc.js:8
csv-parse,^4.12.0,4.16.3,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/api3.renderer.test.js:14
dompurify,^3.4.14,3.4.14,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/dependency-dompurify.test.js:4; tests/sanitizer-differential.test.js:46
env-cmd,^10.1.0,10.1.0,devDependencies,3,Possible native --env-file migration,"Node22 can load env files, but Node preserves preexisting variables while env-cmd normally overrides them. Preserve CI/test environment precedence.",Medium script behavior; no production RAM gain,"package.json/scripts, .babelrc, .eslintrc.js, webpack/webpack.config.js"
eslint,^7.19.0,7.32.0,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,webpack/webpack.config.js:81; tests/dependency-js-yaml.test.js:143; tests/dependency-js-yaml.test.js:151
eslint-plugin-security,^1.4.0,1.7.1,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,"package.json/scripts, .babelrc, .eslintrc.js, webpack/webpack.config.js"
eslint-webpack-plugin,^2.7.0,2.7.0,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,webpack/webpack.config.js:76
jsdom,^26.1.0,26.1.0,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/bundle.smoke.test.js:35; tests/dependency-dompurify.test.js:5; tests/dependency-jsdom.test.js:6; tests/dependency-socket-parser.test.js:9; tests/fixtures/secure-jsdom.js:19; tests/sanitizer-differential.test.js:47; tests/security.test.js:357
mocha,^11.8.0,11.8.0,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/dependency-js-yaml.test.js:170; tests/dependency-mocha.test.js:15
nodemon,^3.1.14,3.1.14,devDependencies,3,Possible native --watch migration,Development tooling only; retain ignore globs/restart/watch/inspect behavior. Low runtime payoff.,Low-medium DX; no production RAM gain,"package.json/scripts, .babelrc, .eslintrc.js, webpack/webpack.config.js"
nyc,^18.0.0,18.0.0,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,.github/workflows/main.yml:43; CHANGELOG.md:28; CONTRIBUTING.md:171; tests/dependency-js-yaml.test.js:155; tests/dependency-mocha.test.js:32
should,^13.2.3,13.2.3,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/00_production-safety.test.js:19; tests/adminnotifies.test.js:4; tests/admintools.modern.test.js:11; tests/api.aaps-client.test.js:26; tests/api.activity.test.js:4; tests/api.alexa.test.js:9; tests/api.deduplication.test.js:24; tests/api.entries.test.js:8
supertest,^7.2.2,7.2.2,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/api.aaps-client.test.js:25; tests/api.activity.test.js:3; tests/api.alexa.test.js:4; tests/api.deduplication.test.js:23; tests/api.devicestatus.test.js:3; tests/api.entries.test.js:3; tests/api.entries.uuid.test.js:15; tests/api.food.test.js:3
webpack-bundle-analyzer,^4.5.0,4.10.2,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/dependency-ws-analyzer.test.js:6
webpack-dev-middleware,^8.0.3,8.0.3,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,lib/server/app.js:343
webpack-hot-middleware,^2.25.2,2.26.1,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,lib/server/app.js:353
xml2js,^0.5.0,0.5.0,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/api3.renderer.security.test.js:5; tests/api3.renderer.test.js:13
xss,^1.0.15,1.0.15,devDependencies,Keep,Retain active development/test/build tooling,"Used by test assertions, HTTP/DOM/security differential checks, coverage or optional development builds. Already dev-only; deletion does not free production server RAM.",Regression protection/build behavior,tests/sanitizer-differential.test.js:51
